Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼şÃû	¶ÔÓ¦Îï¼şË÷Òı	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåĞĞÊôĞÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµş·Å	½Å±¾Ãû(²ÎÊı1)	¼¼ÄÜID£¨²ÎÊı1£©	²ÎÊı2(ÊÍ·¨ÀàĞÍ)	²ÎÊı3(ÊÇ·ñ¹ã²¥)	²ÎÊı4(ÊÇ·ñÓĞµÈ¼¶¸ÅÄî)	²ÎÊı5(ÊÇ·ñ¿É·Å¿ì½İÀ¸)
Lôc TuyÕt Nh©n	6	1	1636	\spr\item\vnxmas2007\lv_xueren.spr	41	1	1	Sö dông nhËn ®­îc ®iÓm kinh nghiÖm vµ phÇn th­ëng ngÉu nhiªn, ®ång thêi cã kh¶ n¨ng gäi ra Lôc TuyÕt Nh©n.<enter>Ng­êi ch¬i cÊp trªn 50 ®· n¹p thÎ míi cã thÓ sö dông vËt phÈm nµy.<enter><color=green>H¹n sö dông: 24:00 ngµy 31-01-2008<color>		0	1	1	\script\item\vnchristmas2007\xmas2007_itemsnowman.lua	0	1	1	0	0
KÑo b¹c hµ gi¸ng sinh	6	1	1637	\spr\item\script\shengdantang_bohe.spr	468	1	1	Sö dông nhËn ®­îc 500.000 ®iÓm kinh nghiÖm. Dµnh cho nh©n vËt cÊp 100 trë lªn ®· n¹p thÎ. <enter>H¹n sö dông: 24:00 ngµy 30-01-2008		0	1	1	\script\item\christmas2007\shengdantang.lua	0	1	1	0	0
KÑo d©u gi¸ng sinh	6	1	1638	\spr\item\script\shengdantang_caomei.spr	468	1	1	Sö dông nhËn ®­îc 1 triÖu ®iÓm kinh nghiÖm. Dµnh cho nh©n vËt cÊp 100 trë lªn ®· n¹p thÎ. <enter>H¹n sö dông: 24:00 ngµy 30-01-2008		0	1	1	\script\item\christmas2007\shengdantang.lua	0	1	1	0	0
KÑo s÷a gi¸ng sinh	6	1	1639	\spr\item\script\shengdantang_naiyou.spr	468	1	1	Sö dông nhËn ®­îc 2.000.000 ®iÓm kinh nghiÖm. Dµnh cho nh©n vËt cÊp 100 trë lªn ®· n¹p thÎ. <enter>H¹n sö dông: 24:00 ngµy 30-01-2008.		0	1	1	\script\item\christmas2007\shengdantang.lua	0	1	1	0	0
LÖnh bµi chuyÓn thÕ ­u ®·i	6	1	1640	\spr\item\questkey\taskobj021.spr	41	1	1	Cã c¬ héi tham gia ho¹t ®éng chuyÓn thÕ, chuyÓn thÕ trùc tiÕp th¨ng ®Õn cÊp 50 hoÆc cÊp 80. <enter><color=green>H¹n sö dông: 24:00 30-01-2008<color>		0	1	0	\script\item\zhuanshenyouhuiling.lua	0	1	1	0	0
ThiÖn ¸c qu¶	6	1	1641	\spr\item\script\shangshixiguo.spr	41	1	1	Lo¹i qu¶ ¨n vµo ch¸nh tµ khã ph©n. <enter>NhÊp chuét ph¶i ®Ó ®æi phe. (ChØ dïng ®­îc trªn §é thuyÒn, vµ thµnh viªn trong nhãm kh«ng thÓ sö dông).		0	1	1	\script\item\shaneguo.lua	0	1	1	0	0
C©y con	6	1	1642	\spr\item\springfestival08\shumiao.spr	41	1	1	Cã thÓ trång bªn ngoµi thÊt ®¹i thµnh thŞ vµ t©n thñ th«n.<enter>NhÊp ph¶i sö dông<enter><color=blue>H¹n sö dông: 24:00 ngµy 02-03-2008<color>		0	1	0	\script\item\springfestival08\sapling.lua	0	1	1	0	0
B¾c §Èu M«n - Thiªn Xu LÖnh	6	1	1643	\spr\item\springfestival08\beidou_tianqu.spr	41	1	2	Mét trong nh÷ng tİn vËt cña B¾c §Èu M«n		0	1	0	\script\item\noscript.lua	0	1	1	0	0
B¾c §Èu M«n - Thiªn Toµn LÖnh	6	1	1644	\spr\item\springfestival08\beidou_tianquan.spr	41	1	2	Mét trong nh÷ng tİn vËt cña B¾c §Èu M«n		0	1	0	\script\item\noscript.lua	0	1	1	0	0
B¾c §Èu M«n - Thiªn C¬ LÖnh	6	1	1645	\spr\item\springfestival08\beidou_tianji.spr	41	1	2	Mét trong nh÷ng tİn vËt cña B¾c §Èu M«n		0	1	0	\script\item\noscript.lua	0	1	1	0	0
B¾c §Èu M«n - Thiªn QuyÒn LÖnh	6	1	1646	\spr\item\springfestival08\beidou_tianquanli.spr	41	1	2	Mét trong nh÷ng tİn vËt cña B¾c §Èu M«n		0	1	0	\script\item\noscript.lua	0	1	1	0	0
B¾c §Èu M«n - Ngäc Hoµnh LÖnh	6	1	1647	\spr\item\springfestival08\beidou_yuheng.spr	41	1	2	Mét trong nh÷ng tİn vËt cña B¾c §Èu M«n		0	1	0	\script\item\noscript.lua	0	1	1	0	0
B¾c §Èu M«n - Khai D­¬ng LÖnh	6	1	1648	\spr\item\springfestival08\beidou_kaiyang.spr	41	1	2	Mét trong nh÷ng tİn vËt cña B¾c §Èu M«n		0	1	0	\script\item\noscript.lua	0	1	1	0	0
B¾c §Èu M«n - Dao Quang LÖnh	6	1	1649	\spr\item\springfestival08\beidou_yaoguang.spr	41	1	2	Mét trong nh÷ng tİn vËt cña B¾c §Èu M«n		0	1	0	\script\item\noscript.lua	0	1	1	0	0
B¾c §Èu M«n - ThÊt Tinh LÖnh	6	1	1650	\spr\item\springfestival08\beidou_qixing.spr	41	2	2	Mét trong nh÷ng tİn vËt cña B¾c §Èu M«n		0	1	0	\script\item\noscript.lua	0	1	1	0	0
Hép gÊm	6	1	1651	\spr\item\script\cangbaotujinhe.spr	41	1	1	NhÊp chuét ph¶i sö dông nhËn ®­îc 12 m¶nh tµng b¶o ®å		0	1	0	\script\item\cangbaotujinhe.lua	0	1	1	0	0
Tói mõng xu©n	6	1	1652	\spr\item\newyear2008\yingchundai.spr	470	1	1	Èn chøa nguyªn liÖu lµm b¸nh ch­ng th¬m ngon.<enter><color=blue>H¹n sö dông: 24:00 ngµy 02-03-2008<color>		0	1	1	\script\item\newyear_2008\makezongzi\yingchundai.lua	0	1	1	0	0
L¸ b¸nh	6	1	1653	\spr\item\newyear2008\zongyue.spr	41	1	1	Mét trong nh÷ng nguyªn liÖu lµm b¸nh ch­ng th¬m ngon.<enter><color=blue>H¹n sö dông: 24:00 ngµy 02-03-2008<color>		0	1	1	\script\item\noscript.lua	0	1	1	0	0
G¹o nÕp	6	1	1654	\spr\item\newyear2008\nuomi.spr	41	1	1	Mét trong nh÷ng nguyªn liÖu lµm b¸nh ch­ng th¬m ngon.<enter><color=blue>H¹n sö dông: 24:00 ngµy 02-03-2008<color>		0	1	1	\script\item\noscript.lua	0	1	1	0	0
§Ëu xanh	6	1	1655	\spr\item\newyear2008\lvdou.spr	41	1	1	Mét trong nh÷ng nguyªn liÖu lµm b¸nh ch­ng th¬m ngon.<enter><color=blue>H¹n sö dông: 24:00 ngµy 02-03-2008<color>		0	1	1	\script\item\noscript.lua	0	1	1	0	0
ThŞt heo 	6	1	1656	\spr\item\newyear2008\zhurou.spr	41	1	1	Mét trong nh÷ng nguyªn liÖu lµm b¸nh ch­ng th¬m ngon.<enter><color=blue>H¹n sö dông: 24:00 ngµy 02-03-2008<color>		0	1	1	\script\item\noscript.lua	0	1	1	0	0
Phóc	6	1	1657	\spr\item\newyear2008\fu.spr	41	2	1	Mét trong nh÷ng nguyªn liÖu trang trİ c©y §µo, c©y Mai, treo ®ñ bé Phóc - Léc - Thä sÏ nhËn ®­îc phÇn th­ëng hÊp dÉn.<enter><color=blue>H¹n sö dông: 24:00 ngµy 02-03-2008<color>		0	1	0	\script\item\noscript.lua	0	1	1	0	0
Léc	6	1	1658	\spr\item\newyear2008\lu.spr	41	2	1	Mét trong nh÷ng nguyªn liÖu trang trİ c©y §µo, c©y Mai, treo ®ñ bé Phóc - Léc - Thä sÏ nhËn ®­îc phÇn th­ëng hÊp dÉn.<enter><color=blue>H¹n sö dông: 24:00 ngµy 02-03-2008<color>		0	1	0	\script\item\noscript.lua	0	1	1	0	0
Thä	6	1	1659	\spr\item\newyear2008\shou.spr	41	2	1	Mét trong nh÷ng nguyªn liÖu trang trİ c©y §µo, c©y Mai, treo ®ñ bé Phóc - Léc - Thä sÏ nhËn ®­îc phÇn th­ëng hÊp dÉn.<enter><color=blue>H¹n sö dông: 24:00 ngµy 02-03-2008<color>		0	1	0	\script\item\noscript.lua	0	1	1	0	0
Bİ quyÕt lµm b¸nh ch­ng th­îng h¹ng	6	1	1660	\spr\item\newyear2008\shangdengzongzimijue.spr	41	1	1	S¸ch d¹y lµm b¸nh ch­ng th¬m ngon.<enter><color=blue>H¹n sö dông: 24:00 ngµy 02-03-2008<color>		0	1	1	\script\item\noscript.lua	0	1	1	0	0
Bİ quyÕt lµm b¸nh ch­ng h¶o h¹ng	6	1	1661	\spr\item\newyear2008\zongzimijue.spr	41	1	1	S¸ch d¹y lµm b¸nh ch­ng th¬m ngon.<enter><color=blue>H¹n sö dông: 24:00 ngµy 02-03-2008<color>		0	1	1	\script\item\noscript.lua	0	1	1	0	0
B¸nh ch­ng th­îng h¹ng	6	1	1662	\spr\item\newyear2008\shangdengzongbing.spr	41	1	1	T¨ng <color=red>2.000.000<color> kinh nghiÖm vµ x¸c suÊt nhËn ®­îc vËt phÈm quı gi¸. (Ng­êi ch¬i ®¼ng cÊp trªn 50 ®· n¹p thÎ)<enter><color=blue>H¹n sö dông: 24:00 ngµy 31-03-2008<color>		0	1	1	\script\item\newyear_2008\makezongzi\zongzi.lua	0	1	1	0	0
B¸nh ch­ng h¶o h¹ng	6	1	1663	\spr\item\newyear2008\zhongdengzongbing.spr	41	1	1	T¨ng <color=red>1.500.000<color> kinh nghiÖm vµ x¸c suÊt nhËn ®­îc vËt phÈm quı gi¸. (Ng­êi ch¬i ®¼ng cÊp trªn 50 ®· n¹p thÎ)<enter><color=blue>H¹n sö dông: 24:00 ngµy 31-03-2008<color>		0	1	1	\script\item\newyear_2008\makezongzi\zongzi.lua	0	1	1	0	0
B¸nh ch­ng th­êng	6	1	1664	\spr\item\newyear2008\putongzongbing.spr	41	1	1	T¨ng <color=red>500.000<color> kinh nghiÖm vµ x¸c suÊt nhËn ®­îc vËt phÈm quı gi¸. (Ng­êi ch¬i ®¼ng cÊp trªn 50 ®· n¹p thÎ)<enter><color=blue>H¹n sö dông: 24:00 ngµy 31-03-2008<color>		0	1	1	\script\item\newyear_2008\makezongzi\zongzi.lua	0	1	1	0	0
ThiÕt La H¸n LÔ Bao	6	1	1665	\spr\item\obj_item_jixiang.spr	377	1	1	NhÊp ph¶i nhËn ®­îc 10 cuèn ThiÕt La H¸n		0	1	0	\script\item\xinnianlibao\xinniangift.lua	0	1	1	0	0
Kh¨n Uyªn ¦¬ng	6	1	1666	\spr\item\questkey\taskobj068.spr	41	1	1	Tr­íc 24:00 ngµy 29-02-2008 giao cho NguyÖt h¹ l·o nh©n nhËn phÇn th­ëng.		0	1	1	\script\item\noscript.lua	0	1	1	0	0
Hå ®iÖp tr©m	6	1	1667	\spr\item\questkey\taskobj001.spr	41	1	1	Tr­íc 24:00 ngµy 29-02-2008 giao cho NguyÖt h¹ l·o nh©n nhËn phÇn th­ëng.		0	1	1	\script\item\noscript.lua	0	1	1	0	0
Kim thö phóc léc bao	6	1	1668	\spr\item\questkey\obj_item_burses.spr	41	1	1	Mang may m¾n ®Õn cho mäi ng­êi.<enter>NhÊp ph¶i sö dông ngÉu nhiªn nhËn ®­îc <color=yellow>1 triÖu, 2 triÖu, 3.5 triÖu, 5 triÖu<color> ®iÓm kinh nghiÖm. (Nh©n vËt ®¼ng cÊp trªn 100 ®· n¹p thÎ)<enter><color=blue>H¹n sö dông: 31-03-2008<color>		0	1	0	\script\item\newyear_2008\makezongzi\jinshufulubao.lua	0	1	1	0	0
Kim thö c¸t t­êng bao	6	1	1669	\spr\item\questkey\obj_item_burses.spr	41	1	1	Cã c¬ héi nhËn ®­îc ®å phæ trang søc Viªm §Õ		0	1	0	\script\item\jishujixiangbao.lua	0	1	1	0	0
Tİn vËt m«n ph¸i	6	1	1670	\spr\item\script\zhuanzhiling.spr	41	1	1	VËt phÈm cÇn thiÕt ®Ó chuyÓn m«n ph¸i		0	1	0	\script\item\noscript.lua	0	1	1	0	0
Tİn vËt D­¬ng Anh	6	1	1671	\spr\item\script\nvtianwangling.spr	41	1	1	VËt phÈm cÇn thiÕt ®Ó nh©n vËt n÷ gia nhËp Thiªn V­¬ng Bang		0	1	0	\script\item\noscript.lua	0	1	1	0	0
B¾c §Èu truyÒn c«ng thuËt	6	1	1672	\spr\item\script\beidouchuangongshu.spr	41	1	1	Mét trong Thiªn H¹ ThÊt §¹i Kú ThuËt cña B¾c §Èu M«n ®· bŞ thÊt truyÒn		0	1	0	\script\item\noscript.lua	0	1	1	0	0
ThÊt tinh th¶o	6	1	1673	\spr\item\script\qixingcao.spr	41	1	1	Lo¹i dŞ d­îc quı hiÕm dïng ®Ó luyÖn B¹ch Ch©n §¬n		0	1	0	\script\item\noscript.lua	0	1	1	0	0
B¸ch niªn thÊt tinh th¶o	6	1	1674	\spr\item\script\bainianqixingcao.spr	41	1	1	Lo¹i dŞ d­îc quı hiÕm tr¨m n¨m ®Ó luyÖn HuyÕt Ch©n §¬n		0	1	0	\script\item\noscript.lua	0	1	1	0	0
Thiªn niªn thÊt tinh th¶o	6	1	1675	\spr\item\script\qiannianqixingcao.spr	41	1	1	Lo¹i dŞ d­îc quı hiÕm ngµn n¨m dïng ®Ó luyÖn HuyÒn Ch©n §¬n		0	1	0	\script\item\noscript.lua	0	1	1	0	0
B¹ch Ch©n §¬n	6	1	1676	\spr\item\script\baizhendan.spr	41	1	1	Cã mµu tr¾ng nh­ tuyÕt, hÊp thô c«ng lùc cña c¸c Cao Thñ. Khi sö dông sÏ gia t¨ng ba thµnh c«ng lùc		0	1	0	\script\item\chuangongdan.lua	0	1	1	0	0
HuyÕt Ch©n §¬n	6	1	1677	\spr\item\script\xuezhendan.spr	41	1	1	Cã mµu ®á nh­ m¸u, ®· hÊp thô c«ng lùc cña c¸c Vâ L©m Cao Thñ. Khi sö dông sÏ gia t¨ng b¶y thµnh c«ng lùc		0	1	0	\script\item\chuangongdan.lua	0	1	1	0	0
HuyÒn Ch©n §¬n	6	1	1678	\spr\item\script\xuanzhendan.spr	41	1	1	Cã mµu ®en tuyÒn, hÊp thô c«ng lùc cña c¸c TuyÖt ThÕ Cao Thñ. Khi sö dông sÏ gia t¨ng m­êi thµnh c«ng lùc		0	1	0	\script\item\chuangongdan.lua	0	1	1	0	0
Cµnh hoa hång	6	1	1679	\spr\item\funvjie_jieri\200803\meiguizhi.spr	330	1	1	Mang ®Õn LÔ Quan ®Ó gãi l¹i thµnh bã hoa hång. (Ng­êi ch¬i ®¼ng cÊp trªn 50 ®· n¹p thÎ)<enter><color=blue>H¹n sö dông: 24:00 ngµy 16-03-2008<color>		0	1	1	\script\item\noscript.lua	0	1	1	0	0
Cµnh hoa cóc	6	1	1680	\spr\item\funvjie_jieri\200803\jihuazhi.spr	330	1	1	Mang ®Õn LÔ Quan ®Ó gãi l¹i thµnh bã hoa cóc. (Ng­êi ch¬i ®¼ng cÊp trªn 50 ®· n¹p thÎ) <enter><color=blue>H¹n sö dông: 24:00 ngµy 16-03-2008<color>		0	1	1	\script\item\noscript.lua	0	1	1	0	0
Bã hoa hång	6	1	1681	\spr\item\funvjie_jieri\200803\shumeigui.spr	330	1	2	Nh©n ngµy quèc tÕ phô n÷ 8/3, d©ng tÆng bã hoa hång th¬m ng¸t cho c¸c chŞ em. (Ng­êi ch¬i ®¼ng cÊp trªn 50 ®· n¹p thÎ) <enter><color=blue>H¹n sö dông: 24:00 ngµy 31-03-2008<color>		0	1	1	\script\item\noscript.lua	0	1	1	0	0
Bã hoa cóc	6	1	1682	\spr\item\funvjie_jieri\200803\shujuhua.spr	330	1	2	Nh©n ngµy quèc tÕ phô n÷ 8/3, d©ng tÆng bã hoa cóc th¬m ng¸t cho c¸c chŞ em. (Ng­êi ch¬i ®¼ng cÊp trªn 50 ®· n¹p thÎ) <enter><color=blue>H¹n sö dông: 24:00 ngµy 31-03-2008<color>		0	1	1	\script\item\noscript.lua	0	1	1	0	0
Å®æ´²¹Ìì°ü	6	1	1683	\spr\item\obj_item_jixiang.spr	41	1	1	ÓÒ¼üµã»÷´ò¿ª£¬¿ÉÒÔËæ»ú»ñµÃ²¹ÌìÊ¯ËéÆ¬£¨´ó£©Óë¸÷Àà²¹ÌìÊ¯ËéÆ¬¼°¸÷ÀàµÀ¾ß¡£		0	1	0	\script\item\nvwabutianbao.lua	0	1	1	0	0
±±¾©ÑÅµäÏÉ²İ°ü	6	1	1684	\spr\item\obj_item_jixiang.spr	41	1	1	ÓÒ¼üµã»÷´ò¿ª£¬¿ÉÒÔËæ»ú»ñµÃ±±¾©£¨ÑÅµä£©Í¼Æ×¡¢ÌØĞ§´ó°×¾ÔÍè¡¢ÌØĞ§ÏÉ²İÂ¶µÈ¸÷ÀàµÀ¾ß¡£		0	1	0	\script\item\bjydxiancaobao.lua	0	1	1	0	0
Ñ×µÛÍ¼ÌÚËéÆ¬	6	1	1685	\spr\item\yanditutengsuipian.spr	41	1	1	¼¯Æë9¸öÑ×µÛÍ¼ÌÚËéÆ¬¿Éµ½ãê¾©Æ½Æ½´¦ºÏ³É1¸öÑ×µÛÍ¼ÌÚ		0	1	0	\script\item\noscript.lua	0	1	1	0	0
Kim Chi ChiÕn Hån 	6	1	1686	\spr\item\questkey\003.spr	388	1	1	NhÆt ®­îc sö dông ngay		1	1	0	\script\item\newcitydefence\pneuma_jin.lua	0	1	1	0	0
Méc Chi ChiÕn Hån 	6	1	1687	\spr\item\questkey\003.spr	389	1	1	NhÆt ®­îc sö dông ngay		1	1	0	\script\item\newcitydefence\pneuma_mu.lua	0	1	1	0	0
Thñy Chi ChiÕn Hån 	6	1	1688	\spr\item\questkey\003.spr	390	1	1	NhÆt ®­îc sö dông ngay		1	1	0	\script\item\newcitydefence\pneuma_shui.lua	0	1	1	0	0
Háa Chi ChiÕn Hån 	6	1	1689	\spr\item\questkey\003.spr	391	1	1	NhÆt ®­îc sö dông ngay		1	1	0	\script\item\newcitydefence\pneuma_huo.lua	0	1	1	0	0
Thæ Chi ChiÕn Hån 	6	1	1690	\spr\item\questkey\003.spr	392	1	1	NhÆt ®­îc sö dông ngay		1	1	0	\script\item\newcitydefence\pneuma_tu.lua	0	1	1	0	0
Kim Chi Hé gi¸p  	6	1	1691	\spr\item\questkey\003.spr	393	1	1	NhÆt ®­îc sö dông ngay		1	1	0	\script\item\newcitydefence\armor_jin.lua	0	1	1	0	0
Méc Chi Hé gi¸p  	6	1	1692	\spr\item\questkey\003.spr	394	1	1	NhÆt ®­îc sö dông ngay		1	1	0	\script\item\newcitydefence\armor_mu.lua	0	1	1	0	0
Thñy Chi Hé gi¸p  	6	1	1693	\spr\item\questkey\003.spr	395	1	1	NhÆt ®­îc sö dông ngay		1	1	0	\script\item\newcitydefence\armor_shui.lua	0	1	1	0	0
Háa Chi Hé gi¸p  	6	1	1694	\spr\item\questkey\003.spr	396	1	1	NhÆt ®­îc sö dông ngay		1	1	0	\script\item\newcitydefence\armor_huo.lua	0	1	1	0	0
Thæ Chi Hé gi¸p  	6	1	1695	\spr\item\questkey\003.spr	397	1	1	NhÆt ®­îc sö dông ngay		1	1	0	\script\item\newcitydefence\armor_tu.lua	0	1	1	0	0
Kim Chi Lîi NhËn	6	1	1696	\spr\item\questkey\003.spr	398	1	1	NhÆt ®­îc sö dông ngay		1	1	0	\script\item\newcitydefence\weapon_jin.lua	0	1	1	0	0
Méc Chi Lîi NhËn	6	1	1697	\spr\item\questkey\003.spr	399	1	1	NhÆt ®­îc sö dông ngay		1	1	0	\script\item\newcitydefence\weapon_mu.lua	0	1	1	0	0
Thñy Chi Lîi NhËn	6	1	1698	\spr\item\questkey\003.spr	400	1	1	NhÆt ®­îc sö dông ngay		1	1	0	\script\item\newcitydefence\weapon_shui.lua	0	1	1	0	0
Háa Chi Lîi NhËn	6	1	1699	\spr\item\questkey\003.spr	401	1	1	NhÆt ®­îc sö dông ngay		1	1	0	\script\item\newcitydefence\weapon_huo.lua	0	1	1	0	0
Thæ Chi Lîi NhËn	6	1	1700	\spr\item\questkey\003.spr	402	1	1	NhÆt ®­îc sö dông ngay		1	1	0	\script\item\newcitydefence\weapon_tu.lua	0	1	1	0	0
Hµnh qu©n ®¬n 	6	1	1701	\spr\item\questkey\003.spr	403	1	1	Lo¹i d­îc liÖu qu©n ®éi th­êng dïng. NhÆt ®­îc sö dông ngay		1	1	0	\script\item\newcitydefence\sj_xingjundan.lua	0	1	1	0	0
TiÓu hoµn ®¬n 	6	1	1702	\spr\item\questkey\003.spr	404	1	1	ThiÕu L©m mËt d­îc. NhÆt ®­îc sö dông ngay		1	1	0	\script\item\newcitydefence\sj_xiaohuandan.lua	0	1	1	0	0
Ngò Hoa Lé 	6	1	1703	\spr\item\questkey\003.spr	405	1	1	MËt d­îc bİ truyÒn cña c¸c ®¹o gia NhÆt ®­îc sö dông ngay		1	1	0	\script\item\newcitydefence\sj_wuhualu.lua	0	1	1	0	0
ÕòÅÉÁéµ¤	6	1	1704	\spr\item\script\zhenpailingdan.spr	41	1	1	ÎäÁÖÃË¸÷´óÃÅÅÉÃØÖÆµÄÁéµ¤£¬Ê³ÓÃºóÄÜÌáÉı1µã¼¼ÄÜµã¡££¨×ªÍ¶ÃÅÅÉºó²ÅÄÜÊ¹ÓÃ£¬×î¶àÊ³ÓÃ15¿Å£©		0	1	0	\script\item\daiyitoushi\zhenpailingdan.lua	0	1	1	0	0
ÕòÅÉÁéÒ©	6	1	1705	\spr\item\script\zhenpailingyao.spr	41	1	1	ÎäÁÖÃË¸÷´óÃÅÅÉÃØÖÆµÄÁéÒ©£¬Ê³ÓÃºóÄÜÌáÉı5µãÇ±ÄÜµã¡££¨×ªÍ¶ÃÅÅÉºó²ÅÄÜÊ¹ÓÃ£¬×î¶àÊ³ÓÃ15¿Å£©		0	1	0	\script\item\daiyitoushi\zhenpailingyao.lua	0	1	1	0	0
ÓÎÁúÆ×£­ÉÏ¾í	6	1	1706	\spr\item\questkey\taskobj022.spr	41	1	1	¼ÇÔØ×ÅÓÎÁúîÚÀ´ÀúµÄ¹Å¼®		0	1	0	\script\item\noscript.lua	0	1	1	0	0
ÓÎÁúÆ×£­ÏÂ¾í	6	1	1707	\spr\item\questkey\taskobj022.spr	41	1	1	¼ÇÔØ×ÅÓÎÁúîÚÀ´ÀúµÄ¹Å¼®		0	1	0	\script\item\noscript.lua	0	1	1	0	0
ÎäÁÖÃËÁîÅÆ£¨Ìú£©	6	1	1708	\spr\item\leaguematch\icon_league_iron.spr	41	1	1	Æ¾´ËÅÆÃ¿¸öÔÂ¿ÉÃâ·ÑÁìÈ¡15µã³äÖµ»ı·Ö		0	1	0	\script\item\noscript.lua	0	1	1	0	0
ÎäÁÖÃËÁîÅÆ£¨Í­£©	6	1	1709	\spr\item\leaguematch\icon_league_copper.spr	41	1	1	Æ¾´ËÅÆÃ¿¸öÔÂ¿ÉÃâ·ÑÁìÈ¡30µã³äÖµ»ı·Ö		0	1	0	\script\item\noscript.lua	0	1	1	0	0
ÎäÁÖÃËÁîÅÆ£¨Òø£©	6	1	1710	\spr\item\leaguematch\icon_league_silver.spr	41	1	1	Æ¾´ËÅÆÃ¿¸öÔÂ¿ÉÃâ·ÑÁìÈ¡50µã³äÖµ»ı·Ö		0	1	0	\script\item\noscript.lua	0	1	1	0	0
ÎäÁÖÃËÁîÅÆ£¨½ğ£©	6	1	1711	\spr\item\leaguematch\icon_league_gold.spr	41	1	1	Æ¾´ËÅÆÃ¿¸öÔÂ¿ÉÃâ·ÑÁìÈ¡100µã³äÖµ»ı·Ö		0	1	0	\script\item\noscript.lua	0	1	1	0	0
ÓÎÁúËéîÚ	6	1	1712	\spr\item\script\youlongsuiyu.spr	41	1	1	Ê¹ÓÃ¿É´ó·ùÌáÉı¹¦Á¦<enter>£¨120£­140¼¶Íæ¼ÒÊ¹ÓÃÖ±½ÓÉı¼¶µ½140¼¶£¬140¼¶ÒÔÉÏÍæ¼ÒÊ¹ÓÃÖ±½ÓÉı15ÒÚ¾­Ñé£©		0	1	0	\script\item\youlongsuiyu.lua	0	1	1	0	0
ĞÒÔË½ğµ°	6	1	1713	\spr\item\script\gold_luckyegg.spr	41	1	1	Ò»¿Å½ğ¹âÉÁÉÁµÄµ°£¬ÔÒ¿ª¿É»ñµÃÒâÍâ¾ªÏ²¡£		40	1	1	\script\item\gold_luckyegg.lua	0	1	1	0	0
ĞÒÔË²Êµ°	6	1	1714	\spr\item\script\color_luckyegg.spr	41	1	1	Ò»¿ÅÎå²Ê°ßìµµÄµ°£¬ÔÒ¿ª¿É»ñµÃÄÜÁ¦ÌáÉı¡£		40	1	1	\script\item\color_luckyegg.lua	0	1	1	0	0
Qu¶ thanh minh	6	1	1715	\spr\item\magicscript\qingming07\qingmingguo.spr	41	1	1	ÇåÃ÷½ÚÃÀÊ³£¬100¼¶ÒÔÉÏÍæ¼ÒÊ³ÓÃºó¿É»ñµÃ50w¾­Ñé¡£		4	1	0	\script\item\qingming_jieri\200803\qingmingmeishi.lua	0	1	1	0	0
H¸ c¶o thanh minh	6	1	1716	\spr\item\magicscript\qingming07\qingmingjiao.spr	41	1	1	ÇåÃ÷½ÚÃÀÊ³£¬100¼¶ÒÔÉÏÍæ¼ÒÊ³ÓÃºó¿É»ñµÃ100w¾­Ñé¡£		4	1	0	\script\item\qingming_jieri\200803\qingmingmeishi.lua	0	1	1	0	0
B¸nh ch­ng thanh minh	6	1	1717	\spr\item\magicscript\qingming07\qingmingzong.spr	41	1	1	ÇåÃ÷½ÚÃÀÊ³£¬100¼¶ÒÔÉÏÍæ¼ÒÊ³ÓÃºó¿É»ñµÃ150w¾­Ñé¡£		4	1	0	\script\item\qingming_jieri\200803\qingmingmeishi.lua	0	1	1	0	0
Ö½Ç®	6	1	1718	\spr\item\script\qingming_jieri\200803\zhiqian.spr	41	1	1	Ò»µşÖ½Ç®£¬¼À°İÓÃÆ·,		4	1	0	\script\item\noscript.lua	0	1	1	0	0
ÏãÖò	6	1	1719	\spr\item\script\qingming_jieri\200803\xiangzhu.spr	41	1	1	ÏãÖò£¬¼À°İÓÃÆ·,		4	1	0	\script\item\noscript.lua	0	1	1	0	0
¼ÀÆ·	6	1	1720	\spr\item\script\qingming_jieri\200803\jipin.spr	41	1	1	Ò»Ğ©¼ÀÆ·£¬¼À°İÓÃÆ·,		4	1	0	\script\item\noscript.lua	0	1	1	0	0
Hoa t­¬i	6	1	1721	\spr\item\script\qingming_jieri\200803\xianhua.spr	41	1	1	´Ó¸ßÉ½ÉÏ²ÉÏÂÀ´µÄÏÊ»¨¡£		4	1	1	\script\item\noscript.lua	0	1	1	0	0
º®Ê³±¦µä	6	1	1722	\spr\item\newyear2008\shangdengzongzimijue.spr	41	1	1	¼ÇÔØº®Ê³ÇåÃ÷¹û£¬º®Ê³ÇåÃ÷½È£¬º®Ê³ÇåÃ÷ôÕµÄÅä·½		4	1	1	\script\item\noscript.lua	0	1	1	0	0
º®Ê³ÇåÃ÷¹û	6	1	1723	\spr\item\lottery\baxianjiaozi.spr	41	1	1	ÇåÃ÷½ÚÃÀÊ³£¬80¼¶ÒÔÉÏÍæ¼ÒÊ³ÓÃºó¿É»ñµÃ350w¾­Ñé¡£		4	1	0	\script\item\qingming_jieri\200803\qingmingmeishi.lua	0	1	1	0	0
